title,terr,dist,P&A Currency,Tht. Release Status,Box Office Release Date,Weeks in Release,Cume Box Office,Cume Admissions,Opening Wkend Box Office,OW Admissions,OW Screens,OW Rank,Current Wkend Box Office,CW Admissions,CW Screens,CW Rank,Wkend 2 Box Office,Wkend 2 Admissions,Wkend 2 Screens,Wkend 2 Rank,Wkend 3 Box Office,Wkend 3 Admissions,Wkend 3 Screens,Wkend 3 Rank,Wkend 4 Box Office,Wkend 4 Admissions,Wkend 4 Screens,Wkend 4 Rank,Wkend 5 Box Office,Wkend 5 Admissions,Wkend 5 Screens,Wkend 5 Rank,Wkend 6 Box Office,Wkend 6 Admissions,Wkend 6 Screens,Wkend 6 Rank,Wkend 7 Box Office,Wkend 7 Admissions,Wkend 7 Screens,Wkend 7 Rank,Wkend 8 Box Office,Wkend 8 Admissions,Wkend 8 Screens,Wkend 8 Rank,Wkend 9 Box Office,Wkend 9 Admissions,Wkend 9 Screens,Wkend 9 Rank,Wkend 10 Box Office,Wkend 10 Admissions,Wkend 10 Screens,Wkend 10 Rank
A Private War,Italy,Notorious,EUD,Complete,22-Nov-18,5,"316,917.00","50,227.00",208470,30740,232,10,0,,,,34672,5139,77,16,1270,179,4,61,6806,1686,7,30,4860,1215,6,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Japan,Happinet,YEN,Complete,14-Sep-19,15,"26,320,500.00","20,564.00",4982100,3878,13,30,0,,,,2800100,2021,14,,1264400,658,14,,413600,301,7,,88400,64,3,,96800,69,1,,283300,233,1,,136700,114,4,,128750,115,6,,91050,79,6,
A Private War,Jordan,Selim,JOD,Complete,8-Nov-18,6,"18,614.00","2,532.00",6065,823,4,,0,,,,3541.5,496,2,,1253,183,1,,1088,137,1,,1126,144,1,,228,29,1,,0,,,,0,,,,0,,,,0,,,
A Private War,Kuwait,Selim,KWD,Complete,8-Nov-18,3,"17,530.00","4,887.00",9322,2435,8,,0,,,,2286.5,623,3,,832,239,1,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Lebanon,Selim,LBP,Complete,8-Nov-18,4,"135,182,250.00","9,084.00",54844348.48,3471,19,,0,,,,33875000,2301,13,,4649000,310,3,,1287000,98,1,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Mexico,CDC,MXN,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Netherlands,Splendid Film,EUD,Complete,28-Mar-19,17,"215,768.00","27,431.00",31834,3981,35,17,0,,,,22993,2721,36,,17224,2082,33,,5362,660,30,,6913,830,39,,7435,927,36,,2579,311,15,,2201,272,14,,2129,262,6,,1015,127,6,
A Private War,New Zealand,Madman,NZD,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Norway,Nordisk,NOK,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Oman,Selim,OMR,N/A,BAN,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
