"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"A Walk Among The Tombstones,Finland,Scanbox,EUD,Complete,41901,3,110909,10986"
"A Walk Among The Tombstones,France,Metropolitan,EUD,Complete,41927,5,1308744,203761"
"A Walk Among The Tombstones,Germany,SquareOne,EUD,Complete,41956,9,3490277,434900"
"A Walk Among The Tombstones,Greece,Odeon,EUD,Complete,41998,3,445703,67675"
"A Walk Among The Tombstones,Guatemala,CDC,GTQ,Complete,41956,6,411145,11420"
"A Walk Among The Tombstones,Honduras,CDC,HNL,Complete,41949,4,909387,11643"
"A Walk Among The Tombstones,Hong Kong,Deltamac,HKD,Complete,41900,4,3175604,56878"
"A Walk Among The Tombstones,Hungary,A-Company,HUF,Complete,41942,6,82844633,60727"
"A Walk Among The Tombstones,Iceland,Myndform,ISK,Complete,41901,6,8728975,8466"
"A Walk Among The Tombstones,India,Tanweer,INR,Complete,41901,,0,0"
"A Walk Among The Tombstones,Indonesia,PT Prima,IDR,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Iraq,Front Row,IQD,Complete,41896,,0,0"
"A Walk Among The Tombstones,Israel,United King,ILS,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Italy,Eagle,EUD,Complete,41900,43,955565,155390"
"A Walk Among The Tombstones,Japan,Pony Canyon,YEN,Complete,42154,2,36962800,30156"
"A Walk Among The Tombstones,Jordan,Front Row,JOD,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Kuwait,Front Row,KWD,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Latvia,A-Company,EUD,Complete,41943,3,14234,3096"
"A Walk Among The Tombstones,Lebanon,Front Row,LBP,Complete,41900,2,153544026,0"
"A Walk Among The Tombstones,Lithuania,A-Company,EUD,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Malaysia,Suraya,MYR,Complete,41900,4,1688853,140743"
"A Walk Among The Tombstones,Mexico,CDC,MXN,Complete,41900,13,33042607,671135"
"A Walk Among The Tombstones,Netherlands,A-Film,EUD,Complete,41928,5,635836,0"
"A Walk Among The Tombstones,New Zealand,Roadshow,NZD,Complete,41928,5,388223,0"
"A Walk Among The Tombstones,Nicaragua,CDC,NIH,Complete,41949,4,897652,9035"
"A Walk Among The Tombstones,Norway,Scanbox,NOK,Complete,41901,4,2267028,21609"
"A Walk Among The Tombstones,Oman,Front Row,OMR,Complete,41900,,0,0"
"A Walk Among The Tombstones,Panama,CDC,USD,Complete,41949,5,168033,35494"
"A Walk Among The Tombstones,Paraguay,CDC,PYG,Complete,41985,22,74535000,3611"
"A Walk Among The Tombstones,Peru,CDC,PEN,Complete,41956,5,2072103,231859"
"A Walk Among The Tombstones,Philippines,Solar,PHP,Complete,41901,4,18159164,0"
"A Walk Among The Tombstones,Poland,A-Company,PLN,Complete,41915,3,1373622,0"
"A Walk Among The Tombstones,Portugal,Lusomundo,EUD,Complete,41921,4,247055,46561"
"A Walk Among The Tombstones,Qatar,Front Row,QAR,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Romania,A-Company,RON,Complete,41922,5,895290,0"
"A Walk Among The Tombstones,Russia,A-Company,RUB,Complete,41928,3,65160253,294306"
"A Walk Among The Tombstones,Serbia,A-Company,RSD,Complete,41956,2,761750,1383"
"A Walk Among The Tombstones,Singapore,Cathay,SGD,Complete,41900,5,897875,93336"
"A Walk Among The Tombstones,Slovakia,A-Company,EUD,Complete,41942,5,27631,5179"
"A Walk Among The Tombstones,Slovenia,A-Company,EUD,Complete,41928,6,14001,2326"
"A Walk Among The Tombstones,South Africa,Nu Metro,ZAR,Complete,41943,3,2443594,0"
"A Walk Among The Tombstones,South Korea,Dreamwest,KRW,Complete,41900,4,1874639247,242545"
"A Walk Among The Tombstones,Spain,eOne - Spain,EUD,Complete,41943,8,910909,209479"
"A Walk Among The Tombstones,Sweden,Scanbox,SEK,Complete,41928,8,2239813,22591"
"A Walk Among The Tombstones,French-Speaking Switzerland,Impuls,CHF,Complete,41927,,0,0"
"A Walk Among The Tombstones,German-Speaking Switzerland,Impuls,CHF,Complete,41956,,0,0"
"A Walk Among The Tombstones,Italian-Speaking Switzerland,Impuls,CHF,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Taiwan,Cherry Sky,TWD,Complete,41929,4,6713539,27890"
"A Walk Among The Tombstones,Thailand,IPA,THB,Complete,41907,3,11333054,0"
"A Walk Among The Tombstones,Turkey,Tanweer,TRY,Complete,41957,2,347655,25696"
"A Walk Among The Tombstones,Ukraine,A-Company,UAH,Complete,41928,4,1960065,45601"
