"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"Boys From County Hell,United Arab Emirates,Selim,AED,,,,0,0"
"Boys From County Hell,United Kingdom,Vertigo,GPB,,,,0,0"
"Boys From County Hell,United States,Shudder,USD,,,,0,0"
"The Bridge Curse,Cambodia,M Pictures,KHR,,,,0,0"
"The Bridge Curse,Hong Kong,Edko,HKD,,,,0,0"
"The Bridge Curse,Laos,M Pictures,LAK,,,,0,0"
"The Bridge Curse,Malaysia,Clover Films,MYR,,,,0,0"
"The Bridge Curse,Myanmar,Red Spark,MMK,,,,0,0"
"The Bridge Curse,Philippines,Pioneer,PHP,,,,0,0"
"The Bridge Curse,Singapore,Clover Films,SGD,,,,0,0"
"The Bridge Curse,Thailand,M Pictures,THB,,,,0,0"
"Capone,Australia,Roadshow,AUS,N/A,STV,,0,0"
"Capone,Austria,Leonine,EUD,Undated,TBD,,0,0"
"Capone,Bahrain,Selim,BHD,Undated,TBD,,0,0"
"Capone,Belgium,The Searchers,EUD,Undated,STV,,0,0"
"Capone,China,UCFTI,CNH,Undated,TBD,,0,0"
"Capone,Croatia,Blitz,HRK,Undated,TBD,,0,0"
"Capone,Denmark,Star Media,DKK,Undated,STV,,0,0"
"Capone,Egypt,Selim,EGP,Undated,TBD,,0,0"
"Capone,Estonia,GPI,EUD,Undated,TBD,,0,0"
"Capone,Ethiopia,Selim,ETB,Undated,TBD,,0,0"
"Capone,Finland,Star Media,EUD,Undated,STV,,0,0"
"Capone,France,Metropolitan,EUD,N/A,STV,,0,0"
"Capone,Germany,Leonine,EUD,Undated,TBD,,0,0"
"Capone,Greece,Odeon,EUD,Complete,44063,6,51495,7989"
"Capone,Iceland,Sena,ISK,Complete,43966,5,2140221,1404"
"Capone,India,PVR,INR,Undated,TBD,,0,0"
"Capone,Indonesia,PT Prima,IDR,Undated,TBD,,0,0"
"Capone,Iraq,Selim,IQD,Undated,TBD,,0,0"
"Capone,Israel,United King,ILS,Undated,TBD,,0,0"
"Capone,Italy,Notorious,EUD,N/A,STV,,0,0"
"Capone,Japan,New Select,YEN,In Release,44253,3,19969100,15864"
"Capone,Jordan,Selim,JOD,Undated,TBD,,0,0"
"Capone,Kuwait,Selim,KWD,Undated,TBD,,0,0"
"Capone,Latvia,GPI,EUD,Undated,TBD,,0,0"
"Capone,Lebanon,Selim,LBP,Undated,TBD,,0,0"
"Capone,Lithuania,GPI,EUD,Undated,TBD,,0,0"
"Capone,Netherlands,The Searchers,EUD,Undated,STV,,0,0"
"Capone,New Zealand,Roadshow,NZD,N/A,STV,,0,0"
"Capone,Norway,Star Media,NOK,Undated,STV,,0,0"
"Capone,Oman,Selim,OMR,Undated,TBD,,0,0"
"Capone,Poland,Monolith,PLN,Undated,TBD,,0,0"
"Capone,Portugal,Lusomundo,EUD,Complete,44042,4,23476,4171"
"Capone,Qatar,Selim,QAR,Undated,TBD,,0,0"
"Capone,Russia,Exponenta,RUB,Complete,44105,3,35485155,127455"
"Capone,Saudi Arabia,Selim,SAR,,,,0,0"
"Capone,Serbia,Blitz,RSD,Undated,TBD,,0,0"
"Capone,Singapore,Lighthouse,SGD,Undated,TBD,,0,0"
"Capone,Slovenia,Blitz,EUD,Undated,TBD,,0,0"
"Capone,South Africa,Empire,ZAR,N/A,STV,,0,0"
"Capone,South Korea,Storm Pictures,KRW,Undated,TBD,,0,0"
"Capone,Sweden,Star Media,SEK,Undated,STV,,0,0"
"Capone,French-Speaking Switzerland,Ascot Elite,CHF,Undated,TBD,,0,0"
"Capone,German-Speaking Switzerland,Ascot Elite,CHF,Undated,TBD,,0,0"
"Capone,Italian-Speaking Switzerland,Ascot Elite,CHF,Undated,TBD,,0,0"
"Capone,Taiwan,Cai Chang,TWD,Complete,44022,3,1455051,6206"
"Capone,Turkey,TME,TRY,Undated,TBD,,0,0"
"Capone,Ukraine,Exponenta,UAH,Complete,44119,1,2351835,20737"
"Capone,United Arab Emirates,Selim,AED,Undated,TBD,,0,0"
"Capone,United Kingdom,Entertainment Film,GPB,N/A,STV,,0,0"
"Capone,United States,Vertical,USD,Undated,STV,,0,0"
"Dark Places,Argentina,IDC,ARS,Complete,42180,4,243047,4089"
"Dark Places,Australia,Roadshow Films,AUS,N/A,STV,,0,0"
"Dark Places,Austria,TMG,EUD,N/A,STV,,0,0"
"Dark Places,Bahrain,Front Row,BHD,N/A,STV,,0,0"
"Dark Places,Belgium,A-Film,EUD,Complete,42130,7,201678,0"
"Dark Places,Bolivia,IDC,BOB,Complete,42152,2,43247,1350"
"Dark Places,Brazil,IDC,BRL,Complete,42173,4,333341,18920"
"Dark Places,Bulgaria,Tandem Film,BGN,N/A,STV,,0,0"
"Dark Places,Canada,Remstar,CAD,Complete,42223,,0,0"
"Dark Places,Chile,IDC,CLP,Complete,42166,2,12475025,4310"
"Dark Places,China,Q Global,CNH,N/A,STV,,0,0"
"Dark Places,Colombia,IDC,COP,Complete,42229,2,233784644,26987"
"Dark Places,Costa Rica,IDC,CRC,Complete,42166,2,4225100,1662"
"Dark Places,Croatia,Discovery,HRK,N/A,STV,,0,0"
"Dark Places,Czech Republic,AQS,CZK,Complete,42173,1,524659.18,0"
"Dark Places,Denmark,Svensk,DKK,N/A,STV,,0,0"
"Dark Places,Dominican Republic,IDC,DOP,Complete,42173,3,679315,2912"
"Dark Places,East Africa,Times Media,ZAR,Complete,42251,3,212940,0"
"Dark Places,Ecuador,IDC,USD,Complete,42202,1,30414,0"
"Dark Places,Egypt,Front Row,EGP,N/A,STV,,0,0"
"Dark Places,El Salvador,IDC,USD,Complete,42166,1,4196,1154"
"Dark Places,Estonia,West,EUD,Undated,TBD,,0,0"
"Dark Places,Finland,Svensk,EUD,Complete,42286,,0,0"
"Dark Places,France,Mars Films,EUD,Complete,42102,6,1536427,245255"
"Dark Places,Germany,TMG,EUD,Complete,42348,2,73023,12936"
"Dark Places,Greece,Odeon,EUD,Complete,42194,2,142275,23082"
"Dark Places,Guatemala,IDC,GTQ,Complete,42173,1,25377,677"
"Dark Places,Honduras,IDC,HNL,Complete,42166,1,36493,488"
"Dark Places,Hong Kong,Intercontinental,HKD,Complete,42278,3,1577695,24693"
"Dark Places,Hungary,Prorom,HUF,N/A,STV,,0,0"
"Dark Places,Iceland,Sam Film,ISK,N/A,STV,,0,0"
"Dark Places,India,Tanweer,INR,N/A,STV,,0,0"
"Dark Places,Indonesia,PT Amero,IDR,Complete,42318,,0,0"
"Dark Places,Iraq,Front Row,IQD,N/A,STV,,0,0"
"Dark Places,Israel,United King,ILS,Complete,42201,,0,0"
"Dark Places,Italy,M2,EUD,Complete,42299,3,255351,50675"
"Dark Places,Japan,CCC,YEN,Complete,42545,11,48605900,38627"
"Dark Places,Jordan,Front Row,JOD,N/A,STV,,0,0"
"Dark Places,Kuwait,Front Row,KWD,N/A,STV,,0,0"
"Dark Places,Latvia,West,EUD,Undated,TBD,,0,0"
"Dark Places,Lebanon,Front Row,LBP,Complete,42264,2,11657301,0"
"Dark Places,Lithuania,West,EUD,Undated,TBD,,0,0"
"Dark Places,Malaysia,Universal Excel,MYR,Complete,42180,3,244619,19802"
"Dark Places,Mexico,IDC,MXN,Complete,42160,17,5234202,101390"
"Dark Places,Netherlands,A-Film,EUD,Complete,42222,3,170205,0"
"Dark Places,New Zealand,Roadshow Films,NZD,N/A,STV,,0,0"
"Dark Places,Nicaragua,IDC,NIH,Complete,42166,1,89602,1144"
"Dark Places,Norway,Svensk,NOK,Complete,42244,1,210811,2062"
"Dark Places,Oman,Front Row,OMR,N/A,STV,,0,0"
"Dark Places,Panama,IDC,USD,Complete,42166,1,6561,1528"
"Dark Places,Paraguay,IDC,PYG,,,,0,0"
"Dark Places,Peru,IDC,PEN,Complete,42166,1,50492,4094"
"Dark Places,Philippines,Captive,PHP,Complete,42214,1,327810,0"
"Dark Places,Poland,Monolith,PLN,N/A,STV,,0,0"
"Dark Places,Portugal,Lusomundo,EUD,Complete,42229,4,51584,9757"
"Dark Places,Qatar,Front Row,QAR,N/A,STV,,0,0"
"Dark Places,Romania,Prorom,RON,N/A,STV,,0,0"
"Dark Places,Russia,West,RUB,Undated,TBD,,0,0"
"Dark Places,Serbia,Discovery,RSD,N/A,STV,,0,0"
"Dark Places,Singapore,Cathay,SGD,Complete,42187,3,123542,12195"
"Dark Places,Slovakia,AQS,EUD,Complete,42173,3,14522,2729"
"Dark Places,Slovenia,Discovery,EUD,Complete,42271,1,961,170"
"Dark Places,South Africa,Times Media,ZAR,Complete,42258,3,557405,0"
"Dark Places,South Korea,Noori,KRW,Complete,42200,2,530282654,66075"
"Dark Places,Spain,Second Gen,EUD,N/A,STV,,0,0"
"Dark Places,Sweden,Svensk,SEK,Complete,42230,7,511279,4985"
"Dark Places,French-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"Dark Places,German-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"Dark Places,Italian-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"Dark Places,Taiwan,CMC,TWD,Complete,42173,6,12622400,51939"
"Dark Places,Thailand,M Pictures,THB,Complete,42222,2,1680950,10164"
"Dark Places,Turkey,Tanweer,TRY,Complete,42181,7,279276,24631"
"Dark Places,Ukraine,West,UAH,Undated,TBD,,0,0"
"Dark Places,United Arab Emirates,Front Row,AED,Complete,42215,3,380343,0"
"Dark Places,United Kingdom,eOne - UK,GPB,Complete,42391,2,831,0"
"Dark Places,United States,A24,USD,Complete,42223,2,208588,0"
"Dark Places,Uruguay,IDC,UYU,Complete,42166,2,410959,2715"
"Dark Places,Venezuela,IDC,VEF,Complete,42166,2,1745850,8277"
"Dark Places,Vietnam,Noori,VND,Complete,42258,1,261003377,0"
"Dark Places,West Africa,Times Media,ZAR,,,,0,0"
"Destination Wedding,Albania,ABLO,ALL,Complete,43363,2,172790,315"
"Destination Wedding,Argentina,Sun,ARS,N/A,STV,,0,0"
"Destination Wedding,Australia,Aviron,AUS,N/A,STV,,0,0"
"Destination Wedding,Austria,Ascot Elite,EUD,Complete,43315,6,56526,7010"
"Destination Wedding,Bahrain,Selim,BHD,Complete,43356,1,2046,575"
"Destination Wedding,Belgium,DFW,EUD,N/A,STV,,0,0"
"Destination Wedding,Bolivia,Sun,BOB,N/A,STV,,0,0"
"Destination Wedding,Brazil,Sun,BRL,N/A,STV,,0,0"
"Destination Wedding,Bulgaria,ABLO,BGN,N/A,STV,,0,0"
"Destination Wedding,Canada,Aviron,CAD,N/A,STV,,0,0"
"Destination Wedding,Chile,Sun,CLP,N/A,STV,,0,0"
"Destination Wedding,China,Huace,CNH,Undated,TBD,,0,0"
"Destination Wedding,Colombia,Sun,COP,N/A,STV,,0,0"
"Destination Wedding,Croatia,ABLO,HRK,Complete,43475,6,472595,17148"
"Destination Wedding,Czech Republic,ABLO,CZK,Complete,43342,6,2827619,18685"
"Destination Wedding,Denmark,Star Media,DKK,N/A,STV,,0,0"
"Destination Wedding,Ecuador,Sun,USD,N/A,STV,,0,0"
"Destination Wedding,Egypt,Selim,EGP,Complete,43356,4,397545.02,5447"
"Destination Wedding,El Salvador,Sun,USD,N/A,NR,,0,0"
"Destination Wedding,Estonia,Acme Film,EUD,Complete,43350,6,75176.89,11295"
"Destination Wedding,Finland,Star Media,EUD,N/A,STV,,0,0"
"Destination Wedding,France,Amazon,EUD,N/A,STV,,0,0"
"Destination Wedding,Germany,Ascot Elite,EUD,Complete,43314,4,200747,26115"
"Destination Wedding,Greece,Odeon,EUD,Complete,43349,4,54556,8667"
"Destination Wedding,Guatemala,Sun,GTQ,N/A,NR,,0,0"
"Destination Wedding,Honduras,Sun,HNL,N/A,NR,,0,0"
"Destination Wedding,Hong Kong,UA,HKD,Complete,43384,3,544078,8092"
"Destination Wedding,Hungary,ABLO,HUF,Complete,43349,6,35483236,25037"
"Destination Wedding,Iceland,Sena,ISK,N/A,STV,,0,0"
"Destination Wedding,India,PVR,INR,Complete,43357,1,497710,1183"
"Destination Wedding,Indonesia,PT Prima,IDR,In Release,44211,,0,0"
"Destination Wedding,Iraq,Selim,IQD,Complete,43349,2,10229000,925"
"Destination Wedding,Israel,United King,ILS,Complete,43342,4,363813.7,12047"
"Destination Wedding,Italy,Lapis,EUD,N/A,STV,,0,0"
"Destination Wedding,Japan,Hakuhodo,YEN,Complete,43441,3,44064800,34861"
"Destination Wedding,Jordan,Selim,JOD,Complete,43356,2,5415,725"
"Destination Wedding,Kuwait,Selim,KWD,Complete,43356,2,7768,2306"
"Destination Wedding,Latvia,Acme Film,EUD,Complete,43350,6,32964.28,5848"
"Destination Wedding,Lebanon,Selim,LBP,Complete,43342,3,94391440,6303"
"Destination Wedding,Lithuania,Acme Film,EUD,Complete,43357,4,33526.03,5792"
"Destination Wedding,Malaysia,Noori,MYR,Complete,43384,4,61949,4618"
"Destination Wedding,Mexico,Sun,MXN,N/A,STV,,0,0"
"Destination Wedding,Netherlands,DFW,EUD,Complete,43419,2,23832,3128"
"Destination Wedding,New Zealand,Aviron,NZD,N/A,STV,,0,0"
"Destination Wedding,Norway,Star Media,NOK,N/A,STV,,0,0"
"Destination Wedding,Oman,Selim,OMR,N/A,STV,,0,0"
"Destination Wedding,Panama,Sun,USD,N/A,NR,,0,0"
"Destination Wedding,Paraguay,Sun,PYG,N/A,STV,,0,0"
"Destination Wedding,Peru,Sun,PEN,N/A,STV,,0,0"
"Destination Wedding,Philippines,Viva,PHP,Complete,43376,2,2301748,10115"
"Destination Wedding,Poland,ABLO,PLN,N/A,STV,,0,0"
"Destination Wedding,Portugal,Films4You,EUD,Complete,43552,4,66764,12309"
"Destination Wedding,Qatar,Selim,QAR,N/A,BAN,,0,0"
"Destination Wedding,Romania,ABLO,RON,N/A,STV,,0,0"
"Destination Wedding,Russia,Exponenta,RUB,Complete,43342,14,80374390,305920"
"Destination Wedding,Serbia,ABLO,RSD,Complete,43510,3,2421814,6219"
"Destination Wedding,Singapore,Shaw,SGD,Complete,43363,5,25237,2524"
"Destination Wedding,Slovakia,ABLO,EUD,Complete,43349,6,75842,13600"
"Destination Wedding,Slovenia,ABLO,EUD,N/A,STV,,0,0"
"Destination Wedding,South Africa,Aviron,ZAR,N/A,STV,,0,0"
"Destination Wedding,South Korea,Euro Pictures,KRW,Complete,43447,4,29269500,3677"
"Destination Wedding,Spain,Sun,EUD,Complete,43560,3,14686,2225"
"Destination Wedding,Sri Lanka,PVR,LKR,Complete,43343,4,1068981,1974"
"Destination Wedding,Sweden,Star Media,SEK,N/A,STV,,0,0"
"Destination Wedding,French-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"Destination Wedding,German-Speaking Switzerland,Ascot Elite,CHF,Complete,43314,7,92682,6381"
"Destination Wedding,Italian-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"Destination Wedding,Taiwan,Applause,TWD,Complete,43350,5,6320602.91,27261"
"Destination Wedding,Thailand,M Pictures,THB,Complete,43342,3,836565,6702"
"Destination Wedding,Turkey,Bir,TRY,Complete,43371,5,253177,17293"
"Destination Wedding,Ukraine,UFD,UAH,Complete,43343,5,6305246,72600"
"Destination Wedding,United Arab Emirates,Selim,AED,Complete,43356,3,254023,6127"
"Destination Wedding,United Kingdom,Aviron,GPB,Complete,43595,2,151712,0"
"Destination Wedding,United States,Aviron,USD,Complete,43343,3,76990,0"
"Destination Wedding,Uruguay,Sun,UYU,N/A,STV,,0,0"
"Destination Wedding,Venezuela,Sun,VEF,N/A,STV,,0,0"
"Destination Wedding,Vietnam,Blue Lantern,VND,N/A,STV,,0,0"
"Dinner with Friends,Australia,Madman,AUS,N/A,STV,,0,0"
"Dinner with Friends,Austria,Amazon,EUD,N/A,STV,,0,0"
"Dinner with Friends,Bahrain,Selim,BHD,Undated,TBD,,0,0"
"Dinner with Friends,Belgium,Splendid Film,EUD,N/A,STV,,0,0"
"Dinner with Friends,Bulgaria,Prorom,BGN,Undated,TBD,,0,0"
"Dinner with Friends,Canada,VVS Films Inc.,CAD,N/A,STV,,0,0"
"Dinner with Friends,Croatia,Prorom,HRK,Complete,44161,13,197336,6063"
"Dinner with Friends,Czech Republic,Prorom,CZK,N/A,STV,,0,0"
"Dinner with Friends,Denmark,Mis. Label,DKK,N/A,STV,,0,0"
"Dinner with Friends,East Africa,Empire,ZAR,Complete,44169,3,47997,871"
"Dinner with Friends,Egypt,Selim,EGP,Undated,TBD,,0,0"
"Dinner with Friends,Estonia,Hea Films,EUD,Undated,TBD,,0,0"
"Dinner with Friends,Ethiopia,Selim,ETB,Undated,TBD,,0,0"
"Dinner with Friends,Finland,Mis. Label,EUD,N/A,STV,,0,0"
"Dinner with Friends,France,Amazon,EUD,N/A,STV,,0,0"
"Dinner with Friends,Germany,Amazon,EUD,N/A,STV,,0,0"
"Dinner with Friends,Greece,Spentzos,EUD,Undated,TBD,,0,0"
"Dinner with Friends,Hungary,Prorom,HUF,N/A,STV,,0,0"
"Dinner with Friends,Iceland,Sena,ISK,Complete,44127,6,594591,479"
"Dinner with Friends,Indonesia,Falcon,IDR,N/A,STV,,0,0"
"Dinner with Friends,Iraq,Selim,IQD,Undated,TBD,,0,0"
"Dinner with Friends,Israel,United King,ILS,Undated,TBD,,0,0"
"Dinner with Friends,Jordan,Selim,JOD,Undated,TBD,,0,0"
"Dinner with Friends,Kuwait,Selim,KWD,Undated,TBD,,0,0"
"Dinner with Friends,Latvia,Hea Films,EUD,Undated,TBD,,0,0"
"Dinner with Friends,Lebanon,Selim,LBP,Undated,TBD,,0,0"
"Dinner with Friends,Lithuania,Hea Films,EUD,Undated,TBD,,0,0"
"Dinner with Friends,Netherlands,Splendid Film,EUD,N/A,STV,,0,0"
"Dinner with Friends,New Zealand,Madman,NZD,N/A,STV,,0,0"
"Dinner with Friends,Norway,Mis. Label,NOK,N/A,STV,,0,0"
"Dinner with Friends,Oman,Selim,OMR,Undated,TBD,,0,0"
"Dinner with Friends,Poland,Monolith,PLN,N/A,STV,,0,0"
"Dinner with Friends,Portugal,Lusomundo,EUD,Upcoming,44329,,0,0"
"Dinner with Friends,Qatar,Selim,QAR,Undated,TBD,,0,0"
"Dinner with Friends,Romania,Prorom,RON,Upcoming,44386,,0,0"
"Dinner with Friends,Russia,Top Film,RUB,Undated,TBD,,0,0"
"Dinner with Friends,Serbia,Prorom,RSD,Complete,44266,6,1511616,4076"
"Dinner with Friends,Slovakia,Prorom,EUD,N/A,STV,,0,0"
"Dinner with Friends,Slovenia,Prorom,EUD,Upcoming,44357,,0,0"
"Dinner with Friends,South Africa,Empire,ZAR,Complete,44176,16,723726,8282"
"Dinner with Friends,Sweden,Mis. Label,SEK,N/A,STV,,0,0"
"Dinner with Friends,French-Speaking Switzerland,Amazon,CHF,N/A,STV,,0,0"
"Dinner with Friends,German-Speaking Switzerland,Amazon,CHF,N/A,STV,,0,0"
"Dinner with Friends,Italian-Speaking Switzerland,Amazon,CHF,N/A,STV,,0,0"
"Dinner with Friends,Syria,Selim,SYP,,,,0,0"
"Dinner with Friends,Taiwan,Cai Chang,TWD,N/A,STV,,0,0"
"Dinner with Friends,Turkey,Fabula,TRY,Undated,TBD,,0,0"
"Dinner with Friends,Ukraine,Top Film,UAH,Undated,TBD,,0,0"
"Dinner with Friends,United Arab Emirates,Selim,AED,Undated,TBD,,0,0"
"Dinner with Friends,United Kingdom,Vertical,GPB,N/A,STV,,0,0"
"Dinner with Friends,United States,Saban,USD,Complete,44127,,0,0"
"Disconnect,Argentina,Universal,ARS,Undated,To Be Det'd,,0,0"
"Disconnect,Australia,Madman,AUS,Undated,To Be Det'd,,0,0"
"Disconnect,Austria,Weltkino,EUD,Complete,41761,3,15845,2113"
"Disconnect,Bahrain,Front Row,BHD,Undated,To Be Det'd,,0,0"
"Disconnect,Belgium,Lumiere,EUD,Complete,41458,8,39472,0"
"Disconnect,Bolivia,Universal,BOB,Undated,To Be Det'd,,0,0"
"Disconnect,Brazil,Universal,BRL,Undated,To Be Det'd,,0,0"
"Disconnect,Bulgaria,A-Company,BGN,Undated,To Be Det'd,,0,0"
"Disconnect,Chile,Universal,CLP,Undated,To Be Det'd,,0,0"
"Disconnect,China,Tang,CNH,Undated,TBD,,0,0"
"Disconnect,Colombia,Universal,COP,Undated,To Be Det'd,,0,0"
"Disconnect,Costa Rica,Universal,CRC,,,,0,0"
"Disconnect,Croatia,A-Company,HRK,Undated,To Be Det'd,,0,0"
"Disconnect,Czech Republic,A-Company,CZK,Undated,To Be Det'd,,0,0"
"Disconnect,Denmark,Svensk,DKK,Undated,To Be Det'd,,0,0"
"Disconnect,Dominican Republic,Universal,DOP,,,,0,0"
"Disconnect,Ecuador,Universal,USD,Undated,To Be Det'd,,0,0"
"Disconnect,Egypt,Front Row,EGP,Undated,To Be Det'd,,0,0"
"Disconnect,El Salvador,Universal,USD,,,,0,0"
"Disconnect,Estonia,Surreal Films,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Finland,Svensk,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,France,Universal,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Germany,Weltkino,EUD,Complete,41669,14,60966,11254"
"Disconnect,Greece,Odeon,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Guatemala,Universal,GTQ,,,,0,0"
"Disconnect,Honduras,Universal,HNL,,,,0,0"
"Disconnect,Hong Kong,Golden Scene,HKD,Complete,41480,5,871190,14732"
"Disconnect,Hungary,A-Company,HUF,Undated,To Be Det'd,,0,0"
"Disconnect,Iceland,Sam Film,ISK,Complete,41572,1,561113.7,0"
"Disconnect,India,Tanweer,INR,Undated,To Be Det'd,,0,0"
"Disconnect,Iraq,Front Row,IQD,Undated,To Be Det'd,,0,0"
"Disconnect,Israel,United King,ILS,Complete,41809,,0,0"
"Disconnect,Italy,Filmauro,EUD,Complete,41648,49,1111524,184231"
"Disconnect,Japan,Klockworx Co. Ltd.,YEN,Undated,To Be Det'd,,0,0"
"Disconnect,Jordan,Front Row,JOD,Undated,To Be Det'd,,0,0"
"Disconnect,Kuwait,Front Row,KWD,Complete,41382,,0,0"
"Disconnect,Latvia,Surreal Films,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Lebanon,Front Row,LBP,Complete,41438,7,6952715.22,0"
"Disconnect,Lithuania,Surreal Films,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Malaysia,Suraya,MYR,Undated,To Be Det'd,,0,0"
"Disconnect,Mexico,Universal,MXN,Undated,To Be Det'd,,0,0"
"Disconnect,Netherlands,Lumiere,EUD,Complete,41445,5,150830,21971"
"Disconnect,New Zealand,Madman,NZD,Undated,To Be Det'd,,0,0"
"Disconnect,Nicaragua,Universal,NIH,,,,0,0"
"Disconnect,Norway,Svensk,NOK,Undated,To Be Det'd,,0,0"
"Disconnect,Oman,Front Row,OMR,Undated,To Be Det'd,,0,0"
"Disconnect,Pakistan,Tanweer,PKR,,,,0,0"
"Disconnect,Panama,Universal,USD,,,,0,0"
"Disconnect,Paraguay,Universal,PYG,Undated,To Be Det'd,,0,0"
"Disconnect,Peru,Universal,PEN,Undated,To Be Det'd,,0,0"
"Disconnect,Philippines,Captive,PHP,Complete,41439,1,152406,0"
"Disconnect,Poland,ITI Cinema,PLN,Undated,To Be Det'd,,0,0"
"Disconnect,Portugal,Outsider Films,EUD,Complete,41585,4,53368.28,10883"
"Disconnect,Qatar,Front Row,QAR,Undated,To Be Det'd,,0,0"
"Disconnect,Romania,A-Company,RON,Undated,To Be Det'd,,0,0"
"Disconnect,Russia,Surreal Films,RUB,Undated,To Be Det'd,,0,0"
"Disconnect,Serbia,A-Company,RSD,Undated,To Be Det'd,,0,0"
"Disconnect,Singapore,Cathay,SGD,Complete,42576,3,55247,5773"
"Disconnect,Slovakia,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Slovenia,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,South Africa,Nu Metro,ZAR,Complete,41467,4,617035,15879"
"Disconnect,South Korea,Main Title Pictures,KRW,Complete,41585,1,156229704,22647"
"Disconnect,Spain,Universal,EUD,Undated,To Be Det'd,,0,0"
"Disconnect,Sweden,Svensk,SEK,Undated,To Be Det'd,,0,0"
"Disconnect,French-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Disconnect,German-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Disconnect,Italian-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Disconnect,Taiwan,Lots Home,TWD,Undated,To Be Det'd,,0,0"
"Disconnect,Thailand,M Pictures,THB,Undated,To Be Det'd,,0,0"
"Disconnect,Turkey,D Productions,TRY,Complete,41481,9,33773,2741"
"Disconnect,Ukraine,Surreal Films,UAH,Undated,To Be Det'd,,0,0"
"Disconnect,United Arab Emirates,Front Row,AED,Complete,41403,2,206887,0"
"Disconnect,United Kingdom,Universal,GPB,Undated,To Be Det'd,,0,0"
"Disconnect,United States,LD Entertainment,USD,Complete,41376,10,1535007,0"
"Disconnect,Uruguay,Universal,UYU,Undated,To Be Det'd,,0,0"
"Disconnect,Venezuela,Universal,VEF,Undated,To Be Det'd,,0,0"
"Disconnect,Vietnam,M Pictures,VND,Undated,TBD,,0,0"
"Dragged Across Concrete,Argentina,Sun,ARS,N/A,STV,,0,0"
"Dragged Across Concrete,Australia,Icon,AUS,Complete,43706,5,59789,0"
"Dragged Across Concrete,Austria,Square One,EUD,N/A,STV,,0,0"
"Dragged Across Concrete,Bahrain,Selim,BHD,Complete,43566,2,12645.32,3072"
"Dragged Across Concrete,Belgium,DFW,EUD,Complete,43628,3,21202,2270"
"Dragged Across Concrete,Bolivia,Sun,BOB,N/A,STV,,0,0"
"Dragged Across Concrete,Brazil,Sun,BRL,N/A,STV,,0,0"
"Dragged Across Concrete,Bulgaria,Tandem Film,BGN,Undated,TBD,,0,0"
"Dragged Across Concrete,Canada,VVS Films Inc.,CAD,N/A,STV,,0,0"
"Dragged Across Concrete,Chile,Sun,CLP,N/A,STV,,0,0"
"Dragged Across Concrete,China,UCFTI,CNH,Undated,TBD,,0,0"
"Dragged Across Concrete,Colombia,Sun,COP,N/A,STV,,0,0"
"Dragged Across Concrete,Croatia,Blitz,HRK,Complete,43594,5,159048.06,5249"
"Dragged Across Concrete,Czech Republic,AQS,CZK,N/A,STV,,0,0"
"Dragged Across Concrete,Denmark,Nordisk,DKK,N/A,STV,,0,0"
"Dragged Across Concrete,Ecuador,Sun,USD,N/A,STV,,0,0"
"Dragged Across Concrete,Egypt,Selim,EGP,Complete,43579,4,175735,2553"
"Dragged Across Concrete,Estonia,Hea Films,EUD,Complete,43553,3,11158,1683"
"Dragged Across Concrete,Finland,Nordisk,EUD,N/A,STV,,0,0"
"Dragged Across Concrete,France,Metropolitan,EUD,N/A,STV,,0,0"
"Dragged Across Concrete,Germany,Square One,EUD,N/A,STV,,0,0"
"Dragged Across Concrete,Greece,Odeon,EUD,Complete,43545,3,63428,9766"
"Dragged Across Concrete,Hungary,Cinetel Kft,HUF,N/A,STV,,0,0"
"Dragged Across Concrete,Iceland,Sena,ISK,Complete,43553,6,2974981,2209"
"Dragged Across Concrete,India,PVR,INR,N/A,STV,,0,0"
"Dragged Across Concrete,Indonesia,PT Prima,IDR,Undated,TBD,,0,0"
"Dragged Across Concrete,Iraq,Selim,IQD,Complete,43566,2,4118000,411"
"Dragged Across Concrete,Israel,United King,ILS,Complete,43545,4,249035.75,8201"
"Dragged Across Concrete,Italy,Adler,EUD,N/A,STV,,0,0"
"Dragged Across Concrete,Japan,Klockworx Co. Ltd.,YEN,In Release,44071,,0,0"
"Dragged Across Concrete,Jordan,Selim,JOD,Complete,43566,2,5262,758"
